team_name,dates,wins,defeats,draws,exp_wins,exp_defeats,exp_draws,under_2_5,over_2_5,exp_under_2_5,exp_over_2_5
Everton,"['2023-08-13', '2023-08-14', '2023-08-19', '2023-08-20', '2023-09-02', '2023-09-09', '2023-09-17', '2023-09-24', '2023-10-07']","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 1, 1, 1, 0, 0, 1, 1]","[0.23809523809523808, 0.5, 0.4347826086956522, 0.30303030303030304, 0.3225806451612903, 0.3225806451612903, 0.25, 0.30303030303030304, 0.3225806451612903]","[0.46511627906976744, 0.3125, 0.30303030303030304, 0.47619047619047616, 0.3333333333333333, 0.4347826086956522, 0.425531914893617, 0.47619047619047616, 0.3333333333333333]","[0.25, 0.29411764705882354, 0.29411764705882354, 0.29411764705882354, 0.30303030303030304, 0.2857142857142857, 0.2857142857142857, 0.29411764705882354, 0.30303030303030304]","[1, 0, 1, 0, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 0, 1, 0, 1, 0]","[0.47619047619047616, 0.4347826086956522, 0.5, 0.4347826086956522, 0.4347826086956522, 0.47619047619047616, 0.4347826086956522, 0.4347826086956522, 0.4347826086956522]","[0.45454545454545453, 0.47619047619047616, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.46511627906976744, 0.45454545454545453, 0.4444444444444444, 0.4444444444444444]"
Arsenal,"['2023-08-12', '2023-08-13', '2023-08-19', '2023-08-26', '2023-09-02', '2023-09-09', '2023-09-23', '2023-09-30', '2023-10-07']","[0, 0, 0, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 1, 1, 0]","[0, 1, 1, 0, 1, 0, 0, 0, 1]","[0.47619047619047616, 0.4347826086956522, 0.30303030303030304, 0.25, 0.3333333333333333, 0.46511627906976744, 0.3125, 0.25, 0.3333333333333333]","[0.3125, 0.3333333333333333, 0.4347826086956522, 0.425531914893617, 0.3225806451612903, 0.25, 0.4444444444444444, 0.425531914893617, 0.3225806451612903]","[0.29411764705882354, 0.2857142857142857, 0.29411764705882354, 0.2857142857142857, 0.30303030303030304, 0.25, 0.25, 0.2857142857142857, 0.30303030303030304]","[0, 1, 1, 1, 1, 0, 0, 1, 1]","[1, 0, 0, 0, 0, 1, 1, 0, 0]","[0.45454545454545453, 0.5, 0.5, 0.4347826086956522, 0.4347826086956522, 0.4347826086956522, 0.5, 0.4347826086956522, 0.4347826086956522]","[0.4347826086956522, 0.4444444444444444, 0.4444444444444444, 0.47619047619047616, 0.4444444444444444, 0.45454545454545453, 0.46511627906976744, 0.47619047619047616, 0.4444444444444444]"
West Ham United,"['2023-08-14', '2023-08-16', '2023-08-27', '2023-09-03', '2023-09-09', '2023-09-17', '2023-10-01', '2023-10-08']","[0, 1, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.16666666666666666, 0.5, 0.2, 0.23809523809523808, 0.25, 0.16666666666666666, 0.2, 0.23809523809523808]","[0.7142857142857143, 0.2222222222222222, 0.6666666666666666, 0.46511627906976744, 0.46511627906976744, 0.7142857142857143, 0.6666666666666666, 0.46511627906976744]","[0.25, 0.23809523809523808, 0.25, 0.25, 0.25, 0.23809523809523808, 0.25, 0.25]","[0, 1, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 1, 1, 1, 1, 1]","[0.3333333333333333, 0.3125, 0.4166666666666667, 0.45454545454545453, 0.4347826086956522, 0.45454545454545453, 0.4166666666666667, 0.45454545454545453]","[0.7142857142857143, 0.6896551724137931, 0.46511627906976744, 0.425531914893617, 0.45454545454545453, 0.47619047619047616, 0.46511627906976744, 0.425531914893617]"
Brentford,['2023-08-16'],[0],[1],[0],[0.2],[0.6666666666666666],[0.25],[0],[1],[0.30303030303030304],[0.6666666666666666]
Wolverhampton,['2023-08-15'],[0],[0],[1],[0.3333333333333333],[0.47619047619047616],[0.30303030303030304],[1],[0],[0.45454545454545453],[0.4347826086956522]
Newcastle United,['2023-08-15'],[0],[0],[1],[0.3125],[0.4166666666666667],[0.3125],[1],[0],[0.4347826086956522],[0.425531914893617]
Chelsea,"['2023-08-12', '2023-08-13', '2023-08-17', '2023-08-27', '2023-09-02', '2023-09-10', '2023-09-17', '2023-09-23', '2023-10-01', '2023-10-07']","[1, 1, 1, 1, 0, 1, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 1]","[0.3125, 0.46511627906976744, 0.6896551724137931, 0.48780487804878053, 0.4166666666666667, 0.5, 0.425531914893617, 0.3225806451612903, 0.48780487804878053, 0.4166666666666667]","[0.47619047619047616, 0.23809523809523808, 0.18181818181818182, 0.2222222222222222, 0.3125, 0.2, 0.25, 0.3333333333333333, 0.2222222222222222, 0.3125]","[0.29411764705882354, 0.25, 0.25, 0.23809523809523808, 0.29411764705882354, 0.23809523809523808, 0.2857142857142857, 0.30303030303030304, 0.23809523809523808, 0.29411764705882354]","[0, 1, 1, 0, 0, 1, 1, 1, 0, 0]","[1, 0, 0, 1, 1, 0, 0, 0, 1, 1]","[0.45454545454545453, 0.47619047619047616, 0.3225806451612903, 0.4444444444444444, 0.47619047619047616, 0.4444444444444444, 0.4347826086956522, 0.47619047619047616, 0.4444444444444444, 0.47619047619047616]","[0.4347826086956522, 0.45454545454545453, 0.6666666666666666, 0.4347826086956522, 0.47619047619047616, 0.425531914893617, 0.45454545454545453, 0.47619047619047616, 0.4347826086956522, 0.47619047619047616]"
Southampton,"['2023-08-13', '2023-08-15']","[0, 0]","[1, 1]","[0, 0]","[0.16666666666666666, 0.3125]","[0.7142857142857143, 0.4]","[0.23809523809523808, 0.29411764705882354]","[0, 0]","[1, 1]","[0.4, 0.47619047619047616]","[0.5, 0.46511627906976744]"
Tottenham Hotspur,"['2023-08-13', '2023-08-14', '2023-08-19', '2023-08-26', '2023-09-03', '2023-09-10', '2023-09-16', '2023-09-24', '2023-09-30', '2023-10-08']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 1]","[1, 1, 0, 1, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[0.2, 0.3125, 0.47619047619047616, 0.3225806451612903, 0.46511627906976744, 0.3125, 0.3333333333333333, 0.29411764705882354, 0.3225806451612903, 0.46511627906976744]","[0.6666666666666666, 0.45454545454545453, 0.25, 0.45454545454545453, 0.23809523809523808, 0.4347826086956522, 0.3225806451612903, 0.4347826086956522, 0.45454545454545453, 0.23809523809523808]","[0.25, 0.30303030303030304, 0.23809523809523808, 0.2857142857142857, 0.25, 0.29411764705882354, 0.29411764705882354, 0.29411764705882354, 0.2857142857142857, 0.25]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 1, 1, 1, 0, 1, 1, 1]","[0.4166666666666667, 0.47619047619047616, 0.3333333333333333, 0.5, 0.45454545454545453, 0.45454545454545453, 0.47619047619047616, 0.45454545454545453, 0.5, 0.45454545454545453]","[0.46511627906976744, 0.46511627906976744, 0.6451612903225806, 0.45454545454545453, 0.425531914893617, 0.47619047619047616, 0.46511627906976744, 0.48780487804878053, 0.45454545454545453, 0.425531914893617]"
Norwich City,['2023-08-16'],[0],[1],[0],[0.2222222222222222],[0.5],[0.23809523809523808],[1],[0],[0.3125],[0.6896551724137931]
