team_name,dates,wins,defeats,draws,exp_wins,exp_defeats,exp_draws,under_2_5,over_2_5,exp_under_2_5,exp_over_2_5
VfB Stuttgart,"['2023-08-19T13:30:00Z', '2023-08-25T18:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.6060606060606061, 0.15384615384615385]","[0.2222222222222222, 0.6944444444444444]","[0.23094688221709006, 0.2173913043478261]","[1, 1]","[0, 0]","[0.45454545454545453, 0.45454545454545453]","[0.6172839506172839, 0.6172839506172839]"
Salernitana,"['2023-08-20T16:30:00Z', '2023-08-28T16:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.13333333333333333, 0.3333333333333333]","[0.6944444444444444, 0.4347826086956522]","[0.23809523809523808, 0.29411764705882354]","[1, 1]","[0, 0]","[0.5780346820809249, 0.5780346820809249]","[0.5, 0.5]"
Strasbourg,['2023-08-20T15:05:00Z'],[0],[0],[1],[0.26666666666666666],[0.5235602094240838],[0.26666666666666666],[1],[0],[0.47619047619047616],[0.5988023952095809]
Girona,"['2023-08-20T15:30:00Z', '2023-08-26T19:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.2631578947368421, 0.5882352941176471]","[0.48780487804878053, 0.21052631578947367]","[0.3125, 0.2631578947368421]","[1, 1]","[0, 0]","[0.6666666666666666, 0.5405405405405405]","[0.4, 0.5405405405405405]"
Marseille,['2023-08-18T19:00:00Z'],[0],[0],[1],[0.22727272727272727],[0.5780346820809249],[0.25641025641025644],[1],[0],[0.48780487804878053],[0.5882352941176471]
Manchester City,"['2023-08-19T19:00:00Z', '2023-08-27T13:00:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.6369426751592356, 0.058823529411764705]","[0.18181818181818182, 0.8474576271186441]","[0.23809523809523808, 0.15384615384615385]","[1, 1]","[0, 0]","[0.5, 0.4444444444444444]","[0.5780346820809249, 0.625]"
Borussia Dortmund,['2023-08-19T16:30:00Z'],[0],[0],[1],[0.7142857142857143],[0.15384615384615385],[0.2],[1],[0],[0.4],[0.6666666666666666]
Fiorentina,"['2023-08-19T18:45:00Z', '2023-08-27T16:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.3333333333333333, 0.6451612903225806]","[0.4347826086956522, 0.16666666666666666]","[0.29411764705882354, 0.25]","[1, 1]","[0, 0]","[0.5780346820809249, 0.5780346820809249]","[0.5, 0.5]"
Torino,"['2023-08-21T16:30:00Z', '2023-08-26T18:45:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.20833333333333334, 0.18181818181818182]","[0.5714285714285714, 0.625]","[0.2777777777777778, 0.25]","[1, 1]","[0, 0]","[0.5988023952095809, 0.5780346820809249]","[0.47619047619047616, 0.5]"
Atalanta BC,"['2023-08-20T16:30:00Z', '2023-08-26T16:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.3225806451612903, 0.25]","[0.46511627906976744, 0.5555555555555556]","[0.27027027027027023, 0.25641025641025644]","[1, 1]","[0, 0]","[0.45454545454545453, 0.48780487804878053]","[0.6172839506172839, 0.5882352941176471]"
Luton,['2023-08-25T19:00:00Z'],[0],[0],[1],[0.06666666666666667],[0.8474576271186441],[0.14285714285714285],[1],[0],[0.42016806722689076],[0.6535947712418301]
SC Freiburg,"['2023-08-19T13:30:00Z', '2023-08-26T13:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.45454545454545453, 0.6172839506172839]","[0.3225806451612903, 0.2]","[0.2777777777777778, 0.23809523809523808]","[1, 1]","[0, 0]","[0.47619047619047616, 0.47619047619047616]","[0.5988023952095809, 0.5988023952095809]"
Wolverhampton Wanderers,"['2023-08-19T14:00:00Z', '2023-08-26T14:00:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.5235602094240838, 0.29411764705882354]","[0.25641025641025644, 0.46511627906976744]","[0.27027027027027023, 0.30303030303030304]","[1, 1]","[0, 0]","[0.5235602094240838, 0.5988023952095809]","[0.5555555555555556, 0.47619047619047616]"
Getafe,"['2023-08-20T15:30:00Z', '2023-08-28T17:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.48780487804878053, 0.2631578947368421]","[0.2631578947368421, 0.47619047619047616]","[0.3125, 0.3225806451612903]","[1, 1]","[0, 0]","[0.6666666666666666, 0.7142857142857143]","[0.4, 0.36363636363636365]"
VfL Bochum,['2023-08-19T13:30:00Z'],[0],[0],[1],[0.2222222222222222],[0.6060606060606061],[0.23094688221709006],[1],[0],[0.45454545454545453],[0.6172839506172839]
Arsenal,"['2023-08-21T19:00:00Z', '2023-08-26T14:00:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.15384615384615385, 0.819672131147541]","[0.6666666666666666, 0.08333333333333333]","[0.23809523809523808, 0.15384615384615385]","[1, 1]","[0, 0]","[0.5555555555555556, 0.38167938931297707]","[0.5235602094240838, 0.6944444444444444]"
Valencia,"['2023-08-18T19:30:00Z', '2023-08-27T17:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.20833333333333334, 0.2777777777777778]","[0.5714285714285714, 0.48780487804878053]","[0.2777777777777778, 0.29411764705882354]","[1, 1]","[0, 0]","[0.625, 0.6172839506172839]","[0.4444444444444444, 0.45454545454545453]"
RC Lens,['2023-08-20T18:45:00Z'],[0],[0],[1],[0.42016806722689076],[0.36363636363636365],[0.2777777777777778],[1],[0],[0.5235602094240838],[0.5555555555555556]
Sheffield United,"['2023-08-18T18:45:00Z', '2023-08-27T13:00:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.23094688221709006, 0.8474576271186441]","[0.5405405405405405, 0.058823529411764705]","[0.29411764705882354, 0.15384615384615385]","[1, 1]","[0, 0]","[0.6172839506172839, 0.4444444444444444]","[0.45454545454545453, 0.625]"
Barcelona,"['2023-08-20T17:30:00Z', '2023-08-27T15:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.8333333333333334, 0.3225806451612903]","[0.07692307692307693, 0.47619047619047616]","[0.15384615384615385, 0.2631578947368421]","[1, 1]","[0, 0]","[0.4347826086956522, 0.4444444444444444]","[0.6369426751592356, 0.625]"
Lecce,"['2023-08-20T18:45:00Z', '2023-08-27T16:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.47619047619047616, 0.16666666666666666]","[0.2857142857142857, 0.6451612903225806]","[0.29411764705882354, 0.25]","[1, 1]","[0, 0]","[0.5988023952095809, 0.5780346820809249]","[0.47619047619047616, 0.5]"
Lille,['2023-08-20T11:00:00Z'],[0],[0],[1],[0.7142857142857143],[0.14285714285714285],[0.21052631578947367],[1],[0],[0.5],[0.5780346820809249]
Augsburg,['2023-08-19T13:30:00Z'],[0],[0],[1],[0.3846153846153846],[0.4081632653061224],[0.27027027027027023],[1],[0],[0.45454545454545453],[0.6172839506172839]
Bayer Leverkusen,"['2023-08-19T13:30:00Z', '2023-08-26T16:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.4166666666666667, 0.3125]","[0.37037037037037035, 0.48780487804878053]","[0.2777777777777778, 0.2631578947368421]","[1, 1]","[0, 0]","[0.48780487804878053, 0.4444444444444444]","[0.5882352941176471, 0.625]"
Atlético Madrid,"['2023-08-14T19:32:26Z', '2023-08-20T19:30:00Z', '2023-08-28T19:30:00Z']","[0, 0, 0]","[1, 0, 0]","[0, 1, 1]","[0.7751937984496123, 0.26666666666666666, 0.23809523809523808]","[0.10526315789473684, 0.5128205128205129, 0.5464480874316939]","[0.18181818181818182, 0.2857142857142857, 0.2777777777777778]","[1, 1, 1]","[0, 0, 0]","[0.45454545454545453, 0.6172839506172839, 0.5235602094240838]","[0.6172839506172839, 0.45454545454545453, 0.5555555555555556]"
Lyon,['2023-08-19T15:00:00Z'],[0],[0],[1],[0.5988023952095809],[0.2222222222222222],[0.23809523809523808],[1],[0],[0.42016806722689076],[0.6535947712418301]
Sassuolo,"['2023-08-20T16:30:00Z', '2023-08-27T18:45:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.46511627906976744, 0.1111111111111111]","[0.3225806451612903, 0.7751937984496123]","[0.27027027027027023, 0.1724137931034483]","[1, 1]","[0, 0]","[0.45454545454545453, 0.38167938931297707]","[0.6172839506172839, 0.6944444444444444]"
CA Osasuna,"['2023-08-19T19:30:00Z', '2023-08-27T17:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.37037037037037035, 0.48780487804878053]","[0.37037037037037035, 0.2777777777777778]","[0.3225806451612903, 0.29411764705882354]","[1, 1]","[0, 0]","[0.625, 0.6172839506172839]","[0.4444444444444444, 0.45454545454545453]"
Villarreal,"['2023-08-18T17:30:00Z', '2023-08-27T15:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.4081632653061224, 0.47619047619047616]","[0.3333333333333333, 0.3225806451612903]","[0.3125, 0.2631578947368421]","[1, 1]","[0, 0]","[0.6369426751592356, 0.4444444444444444]","[0.4347826086956522, 0.625]"
Manchester United,"['2023-08-19T16:30:00Z', '2023-08-26T14:00:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.35714285714285715, 0.7751937984496123]","[0.4347826086956522, 0.1111111111111111]","[0.27027027027027023, 0.1724137931034483]","[1, 1]","[0, 0]","[0.47619047619047616, 0.4]","[0.5988023952095809, 0.6666666666666666]"
Real Madrid,"['2023-08-19T17:30:00Z', '2023-08-25T19:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.7142857142857143, 0.5714285714285714]","[0.13333333333333333, 0.23809523809523808]","[0.20833333333333334, 0.25]","[1, 1]","[0, 0]","[0.45454545454545453, 0.48780487804878053]","[0.6172839506172839, 0.5882352941176471]"
Montpellier,['2023-08-19T15:00:00Z'],[0],[0],[1],[0.2222222222222222],[0.5988023952095809],[0.23809523809523808],[1],[0],[0.42016806722689076],[0.6535947712418301]
Aston Villa,"['2023-08-20T13:00:00Z', '2023-08-27T13:00:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.6172839506172839, 0.2857142857142857]","[0.18181818181818182, 0.5]","[0.25641025641025644, 0.2777777777777778]","[1, 1]","[0, 0]","[0.5555555555555556, 0.5235602094240838]","[0.5235602094240838, 0.5555555555555556]"
Athletic Bilbao,"['2023-08-19T19:30:00Z', '2023-08-27T19:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.37037037037037035, 0.5555555555555556]","[0.37037037037037035, 0.23809523809523808]","[0.3225806451612903, 0.2631578947368421]","[1, 1]","[0, 0]","[0.625, 0.5405405405405405]","[0.4444444444444444, 0.5405405405405405]"
Tottenham Hotspur,"['2023-08-19T16:30:00Z', '2023-08-26T11:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.4347826086956522, 0.48780487804878053]","[0.35714285714285715, 0.3076923076923077]","[0.27027027027027023, 0.26666666666666666]","[1, 1]","[0, 0]","[0.47619047619047616, 0.45454545454545453]","[0.5988023952095809, 0.6172839506172839]"
Napoli,"['2023-08-19T16:30:00Z', '2023-08-27T18:45:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.7352941176470588, 0.7751937984496123]","[0.11764705882352941, 0.1111111111111111]","[0.21052631578947367, 0.1724137931034483]","[1, 1]","[0, 0]","[0.5, 0.38167938931297707]","[0.5780346820809249, 0.6944444444444444]"
AS Monaco,['2023-08-20T15:05:00Z'],[0],[0],[1],[0.5235602094240838],[0.26666666666666666],[0.26666666666666666],[1],[0],[0.47619047619047616],[0.5988023952095809]
Las Palmas,"['2023-08-18T19:30:00Z', '2023-08-25T17:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.5714285714285714, 0.2631578947368421]","[0.20833333333333334, 0.47619047619047616]","[0.2777777777777778, 0.3225806451612903]","[1, 1]","[0, 0]","[0.625, 0.6944444444444444]","[0.4444444444444444, 0.38167938931297707]"
AC Milan,"['2023-08-21T18:45:00Z', '2023-08-26T18:45:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.2777777777777778, 0.625]","[0.5, 0.18181818181818182]","[0.2857142857142857, 0.25]","[1, 1]","[0, 0]","[0.5780346820809249, 0.5780346820809249]","[0.5, 0.5]"
Monza,"['2023-08-19T18:45:00Z', '2023-08-26T16:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.125, 0.25]","[0.7352941176470588, 0.5235602094240838]","[0.2, 0.2857142857142857]","[1, 1]","[0, 0]","[0.45454545454545453, 0.5555555555555556]","[0.6172839506172839, 0.5235602094240838]"
Metz,['2023-08-18T19:00:00Z'],[0],[0],[1],[0.5780346820809249],[0.22727272727272727],[0.25641025641025644],[1],[0],[0.48780487804878053],[0.5882352941176471]
Union Berlin,"['2023-08-20T13:30:00Z', '2023-08-26T13:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.26666666666666666, 0.48780487804878053]","[0.5, 0.2857142857142857]","[0.29411764705882354, 0.2857142857142857]","[1, 1]","[0, 0]","[0.5882352941176471, 0.5555555555555556]","[0.48780487804878053, 0.5235602094240838]"
Everton,"['2023-08-20T13:00:00Z', '2023-08-26T14:00:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.18181818181818182, 0.46511627906976744]","[0.6172839506172839, 0.29411764705882354]","[0.25641025641025644, 0.30303030303030304]","[1, 1]","[0, 0]","[0.5555555555555556, 0.5988023952095809]","[0.5235602094240838, 0.47619047619047616]"
Sevilla,"['2023-08-21T17:00:00Z', '2023-08-26T19:30:00Z']","[0, 0]","[0, 0]","[1, 1]","[0.4166666666666667, 0.21052631578947367]","[0.3125, 0.5882352941176471]","[0.3333333333333333, 0.2631578947368421]","[1, 1]","[0, 0]","[0.6666666666666666, 0.5405405405405405]","[0.4, 0.5405405405405405]"
